species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Saimiri_sciureus	Common squirrel monkey	836.7	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	30.2	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	161.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	1003.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	4.429	AnAge build 14 (genomics.senescence.info); exact match: Saimiri sciureus	24.2683	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	9.6	Savage & West 2007 PNAS (msleep, genus Saimiri)
Salpingotus_crassicauda	Thick-tailed pygmy jerboa																
Sapajus_apella	Tufted capuchin			46.0	AnAge build 14 (genomics.senescence.info); exact match: Sapajus apella	158.0	AnAge build 14 (genomics.senescence.info); exact match: Sapajus apella	1.5	AnAge build 14 (genomics.senescence.info); exact match: Sapajus apella	1703.0	AnAge build 14 (genomics.senescence.info); exact match: Sapajus apella			70.0958	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Scalopus_aquaticus	eastern mole	48.0	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	6.2	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	36.0	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	3.0	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	335.0	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	0.378	AnAge build 14 (genomics.senescence.info); exact match: Scalopus aquaticus	1.32	González-Suárez et al. 2021 [Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]	8.4	Savage & West 2007 PNAS (msleep, genus Scalopus)
Scaptochirus_moschatus	Short-faced mole																
Sciurus_carolinensis	gray squirrel	440.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	23.6	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	44.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	4.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	343.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	2.062	AnAge build 14 (genomics.senescence.info); exact match: Sciurus carolinensis	7.48	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]		
Sciurus_niger	fox squirrel			16.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus niger	44.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus niger	3.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus niger	353.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus niger			8.785	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]		
Sciurus_vulgaris	Eurasian red squirrel	333.0	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Sciurus vulgaris	14.8	AnAge build 14 (genomics.senescence.info); exact match: Sciurus vulgaris	38.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus vulgaris	5.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus vulgaris	296.0	AnAge build 14 (genomics.senescence.info); exact match: Sciurus vulgaris			6.1094	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; Jeschke_&_Strayer_2006_GCB; Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]		
Scotinomys_teguina	Alstons brown mouse	12.0	AnAge build 14 (genomics.senescence.info); exact match: Scotinomys teguina			31.0	AnAge build 14 (genomics.senescence.info); exact match: Scotinomys teguina	2.8	AnAge build 14 (genomics.senescence.info); exact match: Scotinomys teguina	34.0	AnAge build 14 (genomics.senescence.info); exact match: Scotinomys teguina	0.174	AnAge build 14 (genomics.senescence.info); exact match: Scotinomys teguina				
Scutisorex_somereni	Hero shrew	91.49	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data														
