species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Canis_latrans	Coyote	10148.9	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	21.8	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	63.0	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	6.0	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	274.0	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	19.423	AnAge build 14 (genomics.senescence.info); exact match: Canis latrans	88.3	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Tsubio_et_al_2018_NEE]	10.1	Savage & West 2007 PNAS (msleep, genus Canis)
Canis_lupus	Gray wolf	31756.51	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	20.6	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	669.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.836	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	125.9282	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	10.1	Savage & West 2007 PNAS (msleep, genus Canis)
Canis_lupus_baileyi	Mexican gray wolf	31756.51	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	20.6	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	669.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.836	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	125.9282	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	10.1	Savage & West 2007 PNAS (msleep, genus Canis)
Canis_lupus_dingo	dingo	31756.51	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	20.6	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	669.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.836	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	125.9282	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	10.1	Savage & West 2007 PNAS (msleep, genus Canis)
Canis_lupus_familiaris	Dog	31756.51	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	20.6	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	6.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	669.0	AnAge build 14 (genomics.senescence.info); exact match: Canis lupus	62.836	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	125.9282	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	10.1	Savage & West 2007 PNAS (msleep, genus Canis)
Caperea_marginata	Pygmy right whale	31999999.98	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data														
Capra_aegagrus	wild goat			20.8	AnAge build 14; genus Capra (n=8) median used (no species-level data)	162.0	AnAge build 14; genus Capra (n=8) median used (no species-level data)	1.2	AnAge build 14; genus Capra (n=8) median used (no species-level data)	797.0	AnAge build 14; genus Capra (n=8) median used (no species-level data)			106.0	González-Suárez et al. 2021 (genus Capra median)	5.3	Zepelin et al. 2005 (genus Capra; measured in C. hircus)
Capra_hircus	Goat	47386.47	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capra hircus	20.8	AnAge build 14 (genomics.senescence.info); exact match: Capra hircus	155.0	AnAge build 14 (genomics.senescence.info); exact match: Capra hircus	1.5	AnAge build 14 (genomics.senescence.info); exact match: Capra hircus	406.0	AnAge build 14 (genomics.senescence.info); exact match: Capra hircus			106.0	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Tsubio_et_al_2018_NEE]	5.3	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Capra_ibex	Alpine ibex	69546.83	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capra ibex	21.0	AnAge build 14 (genomics.senescence.info); exact match: Capra ibex	169.0	AnAge build 14 (genomics.senescence.info); exact match: Capra ibex	1.1	AnAge build 14 (genomics.senescence.info); exact match: Capra ibex	797.0	AnAge build 14 (genomics.senescence.info); exact match: Capra ibex			106.0	González-Suárez et al. 2021 (genus Capra median)	5.3	Zepelin et al. 2005 (genus Capra; measured in C. hircus)
Capra_nubiana	Nubian ibex	47763.72	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capra nubiana	22.4	AnAge build 14 (genomics.senescence.info); exact match: Capra nubiana	150.0	AnAge build 14 (genomics.senescence.info); exact match: Capra nubiana	1.0	AnAge build 14 (genomics.senescence.info); exact match: Capra nubiana	818.0	AnAge build 14 (genomics.senescence.info); exact match: Capra nubiana			106.0	González-Suárez et al. 2021 (genus Capra median)	5.3	Zepelin et al. 2005 (genus Capra; measured in C. hircus)
Capra_sibirica	Siberian ibex	130000.0	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capra sibirica	22.3	AnAge build 14 (genomics.senescence.info); exact match: Capra sibirica	175.0	AnAge build 14 (genomics.senescence.info); exact match: Capra sibirica			797.0	AnAge build 14 (genomics.senescence.info); exact match: Capra sibirica			106.0	González-Suárez et al. 2021 (genus Capra median)	5.3	Zepelin et al. 2005 (genus Capra; measured in C. hircus)
Capreolus_capreolus	Western roe deer	21500.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	17.5	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	153.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	1.6	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	413.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	46.347	AnAge build 14 (genomics.senescence.info); exact match: Capreolus capreolus	94.9625	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	3.0	Savage & West 2007 PNAS (msleep, genus Capreolus)
Capreolus_pygargus	Eastern roe deer	41371.03	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capreolus pygargus			294.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus pygargus	2.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus pygargus	413.0	AnAge build 14 (genomics.senescence.info); exact match: Capreolus pygargus			94.9625	González-Suárez et al. 2021 (genus Capreolus median)	3.0	Savage & West 2007 PNAS (msleep, genus Capreolus)
Capricornis_sumatraensis	Sumatran serow	110942.22	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Capricornis sumatraensis	18.5	AnAge build 14 (genomics.senescence.info); exact match: Capricornis sumatraensis	213.0	AnAge build 14 (genomics.senescence.info); exact match: Capricornis sumatraensis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Capricornis sumatraensis	912.0	AnAge build 14 (genomics.senescence.info); exact match: Capricornis sumatraensis			131.6	González-Suárez et al. 2021 (genus Capricornis median)		
Caracal_caracal	caracal	11964.38	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Caracal caracal	20.3	AnAge build 14 (genomics.senescence.info); exact match: Caracal caracal	74.0	AnAge build 14 (genomics.senescence.info); exact match: Caracal caracal	3.0	AnAge build 14 (genomics.senescence.info); exact match: Caracal caracal	456.0	AnAge build 14 (genomics.senescence.info); exact match: Caracal caracal			56.1427	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Carlito_syrichta	Philippine tarsier	113.0	AnAge build 14 (genomics.senescence.info); exact match: Carlito syrichta	16.0	AnAge build 14 (genomics.senescence.info); exact match: Carlito syrichta	179.0	AnAge build 14 (genomics.senescence.info); exact match: Carlito syrichta	1.0	AnAge build 14 (genomics.senescence.info); exact match: Carlito syrichta			0.43	AnAge build 14 (genomics.senescence.info); exact match: Carlito syrichta	3.42	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Stankowich_&_Romero_2017_ProcB]		
Carollia_perspicillata	Sebas short-tailed bat	14.9	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	17.0	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	95.0	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	1.0	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	258.0	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	0.24	AnAge build 14 (genomics.senescence.info); exact match: Carollia perspicillata	0.508	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB; Stankowich_&_Romero_2017_ProcB]		
Castor_canadensis	American beaver	18124.41	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Castor canadensis	23.4	AnAge build 14 (genomics.senescence.info); exact match: Castor canadensis	128.0	AnAge build 14 (genomics.senescence.info); exact match: Castor canadensis	3.5	AnAge build 14 (genomics.senescence.info); exact match: Castor canadensis	639.0	AnAge build 14 (genomics.senescence.info); exact match: Castor canadensis			38.25	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Tsubio_et_al_2018_NEE]	11.0	Savage & West 2007 PNAS 104:1051-1056 (msleep)
Catagonus_wagneri	Chacoan peccary	35566.4	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Catagonus wagneri			152.0	AnAge build 14 (genomics.senescence.info); exact match: Catagonus wagneri	2.4	AnAge build 14 (genomics.senescence.info); exact match: Catagonus wagneri	1096.0	AnAge build 14 (genomics.senescence.info); exact match: Catagonus wagneri						
Cavia_aperea	Brazilian guinea pig	524.38	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cavia aperea	6.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia aperea	63.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia aperea	2.5	AnAge build 14 (genomics.senescence.info); exact match: Cavia aperea	74.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia aperea			5.27	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]		
Cavia_porcellus	domestic guinea pig	639.1	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	12.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	68.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	3.8	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	66.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	2.13	AnAge build 14 (genomics.senescence.info); exact match: Cavia porcellus	4.28	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	9.4	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Cavia_tschudii	Montane guinea pig	1000.0	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cavia tschudii	6.3	AnAge build 14 (genomics.senescence.info); exact match: Cavia tschudii	64.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia tschudii	1.9	AnAge build 14 (genomics.senescence.info); exact match: Cavia tschudii	62.0	AnAge build 14 (genomics.senescence.info); exact match: Cavia tschudii			4.28	González-Suárez et al. 2021 (genus Cavia median)		
Cebus_albifrons	white-fronted capuchin	2509.68	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cebus albifrons	40.4	AnAge build 14 (genomics.senescence.info); exact match: Cebus albifrons	158.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus albifrons	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus albifrons	1310.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus albifrons			63.6829	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Cebus_capucinus_imitator	white-faced sapajou	3005.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cebus capucinus	54.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus capucinus	162.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus capucinus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus capucinus	1505.0	AnAge build 14 (genomics.senescence.info); exact match: Cebus capucinus			73.545	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]		
Cephalopachus_bancanus	Horsfields tarsier			16.3	AnAge build 14 (genomics.senescence.info); exact match: Cephalopachus bancanus	178.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalopachus bancanus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalopachus bancanus	920.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalopachus bancanus						
Cephalophus_harveyi	Harveys duiker			16.35	AnAge build 14; genus Cephalophus (n=9) median used (no species-level data)	213.0	AnAge build 14; genus Cephalophus (n=9) median used (no species-level data)	1.0	AnAge build 14; genus Cephalophus (n=9) median used (no species-level data)	424.0	AnAge build 14; genus Cephalophus (n=9) median used (no species-level data)			93.0	González-Suárez et al. 2021 (genus Cephalophus median)		
Cephalorhynchus_commersonii	Commersons dolphin	72400.0	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cephalorhynchus commersonii			350.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalorhynchus commersonii	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalorhynchus commersonii	2008.0	AnAge build 14 (genomics.senescence.info); exact match: Cephalorhynchus commersonii						
Ceratotherium_simum_cottoni	northern white rhinoceros	2285939.43	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ceratotherium simum	45.0	AnAge build 14 (genomics.senescence.info); exact match: Ceratotherium simum	515.0	AnAge build 14 (genomics.senescence.info); exact match: Ceratotherium simum	1.0	AnAge build 14 (genomics.senescence.info); exact match: Ceratotherium simum	1643.0	AnAge build 14 (genomics.senescence.info); exact match: Ceratotherium simum						
Cercocebus_atys	sooty mangabey	6941.24	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14; genus Cercocebus (n=3) median used (no species-level data)	38.5	AnAge build 14; genus Cercocebus (n=3) median used (no species-level data)	170.0	AnAge build 14; genus Cercocebus (n=3) median used (no species-level data)	1.0	AnAge build 14; genus Cercocebus (n=3) median used (no species-level data)	1536.0	AnAge build 14; genus Cercocebus (n=3) median used (no species-level data)			102.4	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Cercopithecus_albogularis	Sykes monkey	8648.7	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	30.0	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	172.0	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	1.0	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	1591.5	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	19.276	AnAge build 14; genus Cercopithecus (n=13) median used (no species-level data)	72.6858	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]	10.0	Savage & West 2007 PNAS (msleep, genus Cercopithecus)
Cercopithecus_mitis	blue monkey	8648.7	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	37.8	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	132.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	1673.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	19.276	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mitis	71.7699	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]	10.0	Savage & West 2007 PNAS (msleep, genus Cercopithecus)
Cercopithecus_mona	Mona monkey	3980.17	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mona	30.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mona			1.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus mona					67.0	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Tsubio_et_al_2018_NEE]	10.0	Savage & West 2007 PNAS (msleep, genus Cercopithecus)
Cercopithecus_neglectus	De Brazzas monkey	5324.52	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus neglectus	30.8	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus neglectus	177.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus neglectus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus neglectus	1611.0	AnAge build 14 (genomics.senescence.info); exact match: Cercopithecus neglectus			66.77	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]	10.0	Savage & West 2007 PNAS (msleep, genus Cercopithecus)
Cervus_albirostris	White-lipped deer	67000.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	28.9	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	227.5	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	1.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	676.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	112.43	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	297.1666	González-Suárez et al. 2021 (genus Cervus median)	3.0	Zepelin et al. 2005 (genus Cervus; measured in C. elaphus)
Cervus_canadensis	elk	67000.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	28.9	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	227.5	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	1.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	676.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	112.43	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	297.1666	González-Suárez et al. 2021 (genus Cervus median)	3.0	Zepelin et al. 2005 (genus Cervus; measured in C. elaphus)
Cervus_elaphus	red deer	67000.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	31.5	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	245.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	852.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	112.43	AnAge build 14 (genomics.senescence.info); exact match: Cervus elaphus	355.0	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Jeschke_&_Strayer_2006_GCB; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	3.0	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Cervus_hanglu_yarkandensis	Yarkand deer	67000.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	28.9	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	227.5	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	1.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	676.0	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	112.43	AnAge build 14; genus Cervus (n=2) median used (no species-level data)	297.1666	González-Suárez et al. 2021 (genus Cervus median)	3.0	Zepelin et al. 2005 (genus Cervus; measured in C. elaphus)
Cervus_nippon	Sika deer	52999.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Cervus nippon	26.3	AnAge build 14 (genomics.senescence.info); exact match: Cervus nippon	210.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus nippon	1.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus nippon	500.0	AnAge build 14 (genomics.senescence.info); exact match: Cervus nippon			162.4448	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]	3.0	Zepelin et al. 2005 (genus Cervus; measured in C. elaphus)
Cheirogaleus_medius	Lesser dwarf lemur	300.0	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	29.0	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	61.0	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	2.2	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	365.0	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	1.088	AnAge build 14 (genomics.senescence.info); exact match: Cheirogaleus medius	3.0722	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Razafindratsima_et_al_2018_Ecol]		
Cheracebus_lucifer	Primates													19.9326	González-Suárez et al. 2021 (genus Cheracebus median)		
Cheracebus_lugens	Black titi													19.6995	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]		
Cheracebus_regulus	Jurua collared titi													19.9326	González-Suárez et al. 2021 (genus Cheracebus median)		
Cheracebus_torquatus	Collared titi													20.3574	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Tsubio_et_al_2018_NEE]		
Chinchilla_lanigera	long-tailed chinchilla	436.7	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	17.2	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	111.0	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	2.0	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	240.0	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	1.31	AnAge build 14 (genomics.senescence.info); exact match: Chinchilla lanigera	5.25	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]	12.5	Zepelin et al. 2005 Principles & Practices of Sleep Medicine
Chionomys_nivalis	European snow vole	42.01	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data									0.4523	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)				
Chiropotes_israelita	Primates			19.8	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	160.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	1.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	1460.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)			57.239	González-Suárez et al. 2021 [Tsubio_et_al_2018_NEE]		
Chiropotes_sagulatus	Primates			19.8	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	160.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	1.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)	1460.0	AnAge build 14; genus Chiropotes (n=2) median used (no species-level data)			57.239	González-Suárez et al. 2021 (genus Chiropotes median)		
Chlorocebus_aethiops	grivet	3695.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Chlorocebus aethiops	32.0	AnAge build 14 (genomics.senescence.info); exact match: Chlorocebus aethiops	162.0	AnAge build 14 (genomics.senescence.info); exact match: Chlorocebus aethiops	1.0	AnAge build 14 (genomics.senescence.info); exact match: Chlorocebus aethiops	1034.0	AnAge build 14 (genomics.senescence.info); exact match: Chlorocebus aethiops			64.025	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]		
Chlorocebus_sabaeus	green monkey			32.0	AnAge build 14; genus Chlorocebus (n=1) median used (no species-level data)	162.0	AnAge build 14; genus Chlorocebus (n=1) median used (no species-level data)	1.0	AnAge build 14; genus Chlorocebus (n=1) median used (no species-level data)	1034.0	AnAge build 14; genus Chlorocebus (n=1) median used (no species-level data)			71.9	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
